,material_name,critical_temp,number_of_elements,wtd_gmean_atomic_mass,wtd_gmean_fie,wtd_gmean_atomic_radius,wtd_gmean_Density,wtd_gmean_ElectronAffinity,wtd_gmean_FusionHeat,wtd_gmean_ThermalConductivity,wtd_gmean_Valence
20573,H2S1,185.0,2,3.1937447365204603,1197.6314814882699,62.520675826075895,2.51145355826662,103.613789917385,0.813651008366448,0.188322737197633,1.8171205928321401
3985,Hg0.66Pb0.34Ba2Ca1.98Cu2.9O8.4,143.0,6,34.8141745513787,934.741620726453,91.6564808512248,72.4020562171327,54.82016702524779,1.30241240430942,1.4262680651012298,2.02916266431752
5200,Hg0.7Pb0.3Ba2Ca2Cu3O8,143.0,6,35.6346070884111,925.775437324093,93.53022817395691,82.6613717119085,53.1845174316844,1.38181008918982,1.6362983469493402,2.02616266266104
19039,Tl0.8Hg0.2Ba2Ca2Cu3O9,137.4,6,34.0055195644539,927.0550948214259,89.70907632634359,64.9052022821986,60.272812330018,1.26040174039275,1.35698975106426,2.03852782215273
5476,Hg0.75Ba2.07Ca2.07Cu3.11O8.208,135.8,5,34.6759990321112,928.979515076946,93.016742136459,77.320990691594,53.047372804456394,1.36243098707854,1.5782444468908998,2.0
7105,Hg1Ba2Ca2Cu3O8,135.7,5,35.6129512913689,931.716636693768,93.71403929517271,82.9359557468881,50.0923796907233,1.36292844325725,1.59273649027288,2.0
4709,Hg1Ba2Ca2Cu3O8,135.5,5,35.6129512913689,931.716636693768,93.71403929517271,82.9359557468881,50.0923796907233,1.36292844325725,1.59273649027288,2.0
5475,Hg0.75Ba2.07Ca2.07Cu3.11O8.187,135.4,5,34.7108133761465,928.5625380189391,93.09661179304491,77.72237079386491,52.97941109994311,1.36564168446789,1.58662850520367,2.0
7124,Hg1Ba2Ca2Cu3O8.27,135.0,5,35.1431872272332,937.036980615122,92.6793051455278,77.5307787888398,50.9690445559867,1.32249559382766,1.4881438447964999,2.0
7787,Hg1Ba2Ca2Cu3O8.29,135.0,5,35.109252172500504,937.4252477682691,92.6044700460825,77.1515561862312,51.0334221626681,1.31960113106883,1.4808078228708703,2.0
3028,Hg1Ba2Ca2Cu3O8,135.0,5,35.6129512913689,931.716636693768,93.71403929517271,82.9359557468881,50.0923796907233,1.36292844325725,1.59273649027288,2.0
3373,Hg1Ba2Ca2Cu3O,135.0,5,66.3573546012436,713.483790009964,157.687921422903,1952.1706737785,22.2140094483167,5.59056034827662,38.433781433833204,2.0
5318,Hg1Ba2Ca2Cu3FO8,135.0,6,34.3206545437195,964.593141820298,89.3925653205138,65.9737643998598,55.9621302074451,1.23637308681872,1.2549726855711398,1.9200933737095902
5785,Hg0.9Re0.1Ba2Ca2Cu3O,135.0,6,66.30251886024,711.254837086113,157.854069001892,1961.7438575717601,22.806019620732002,5.75876749959859,39.190571390117796,2.0280338341562802
5473,Hg0.75Ba2.07Ca2.07Cu3.11O8.15,134.7,5,34.7724587932766,927.8256837130699,93.23800778746401,78.43721033331279,52.859452042445604,1.3713374727037901,1.60156262148005,2.0
7642,Hg1Ba2Ca2Cu3O,134.5,5,66.3573546012436,713.483790009964,157.687921422903,1952.1706737785,22.2140094483167,5.59056034827662,38.433781433833204,2.0
3002,Hg1Ba2Ca2Cu3O8,134.5,5,35.6129512913689,931.716636693768,93.71403929517271,82.9359557468881,50.0923796907233,1.36292844325725,1.59273649027288,2.0
5474,Hg0.75Ba2.07Ca2.07Cu3.11O8.16,134.2,5,34.755759233459,928.025108522355,93.19970761836149,78.24304115698949,52.891900739947395,1.36979315751133,1.597505808944,2.0
3685,Hg0.6Ti0.4Ba2Ca2Cu3O8.4,134.0,6,33.725225320179995,929.8614359435339,92.2620343838944,73.12708101512071,53.6960368565695,1.3724441040469098,1.4760925206728799,2.03409948888725
3679,Hg1Ba2Ca1Cu2O6,134.0,5,38.396692576586794,931.3543910951289,95.08277743358289,86.5496118658301,48.437556747768404,1.31072368442766,1.32894980687753,2.0
4035,Hg1Ba2Ca2Cu3O8,134.0,5,35.6129512913689,931.716636693768,93.71403929517271,82.9359557468881,50.0923796907233,1.36292844325725,1.59273649027288,2.0
7788,Hg1Ba2Ca2Cu3O8.3,134.0,5,35.0923281337187,937.619084221987,92.56714397044479,76.96298830190241,51.0655821342044,1.31815893394327,1.47716010223593,2.0
4033,Tl0.1Hg0.9Ba2Ca2Cu3O8,134.0,6,35.61712139556,928.603620603811,93.6602818678384,82.86710749503621,50.9208809008269,1.3681048777929898,1.60987415561234,2.0050747412308603
4031,Tl0.5Hg0.5Ba2Ca2Cu3O8,134.0,6,35.633806695886605,916.2552202131441,93.44556035178509,82.5922855485699,54.3742006192531,1.38900796626561,1.6802887586052,2.02550279828632
3683,Hg0.8Mo0.2Ba2Ca2Cu3O8.4,134.0,6,34.6120355885846,935.1501204185589,92.31574160653358,74.86330926144541,53.882883027534,1.3484711993571699,1.4918122166537402,2.0269757246464
